# FACILITY: LCO
# DATE-OBS: 2024-11-23
wavelength flux
3.937925777331993686e+03 1.501049843749999836e-15
3.939648696088262113e+03 1.667592499999999891e-15
3.941371614844530995e+03 1.640833593749999827e-15
3.943094533600799878e+03 1.700911718749999950e-15
3.944817452357068760e+03 1.800153437500000046e-15
3.946540371113337642e+03 1.697180468749999816e-15
3.948263289869606524e+03 1.573933281249999921e-15
3.949986208625875406e+03 1.760021874999999811e-15
3.951709127382143834e+03 1.696696718749999940e-15
3.953432046138412716e+03 1.697107187499999994e-15
3.955154964894681598e+03 1.730220312499999885e-15
3.956877883650950480e+03 1.695871562499999999e-15
3.958600802407218907e+03 1.729198593749999834e-15
3.960323721163487789e+03 1.498775624999999871e-15
3.962046639919756672e+03 1.514936718749999921e-15
3.963769558676025554e+03 1.417109218750000009e-15
3.965492477432294436e+03 1.123512187499999989e-15
3.967215396188563318e+03 1.033027812499999945e-15
3.968938314944832200e+03 9.057426562499999177e-16
3.970661233701100628e+03 8.266427343749999594e-16
3.972384152457369510e+03 1.028933593749999883e-15
3.974107071213638392e+03 1.241105312500000022e-15
3.975829989969907274e+03 1.288373515624999928e-15
3.977552908726176156e+03 1.487127343749999855e-15
3.979275827482444583e+03 1.546251250000000002e-15
3.980998746238713466e+03 1.659742187499999830e-15
3.982721664994982348e+03 1.651447968749999817e-15
3.984444583751251230e+03 1.712184218749999977e-15
3.986167502507520112e+03 1.609218124999999890e-15
3.987890421263788994e+03 1.672928906249999950e-15
3.989613340020057421e+03 1.575382656249999889e-15
3.991336258776326304e+03 1.734316406249999806e-15
3.993059177532595186e+03 1.909150624999999760e-15
3.994782096288864068e+03 1.799154531249999833e-15
3.996505015045132950e+03 1.810633906249999887e-15
3.998227933801401377e+03 1.779285468749999994e-15
3.999950852557670260e+03 1.745738593749999902e-15
4.001673771313939142e+03 1.770116718749999859e-15
4.003396690070208024e+03 1.850316093749999775e-15
4.005119608826476906e+03 1.811097499999999843e-15
4.006842527582745788e+03 1.830532812500000072e-15
4.008565446339014670e+03 1.934118437499999847e-15
4.010288365095283098e+03 1.865296093749999873e-15
4.012011283851551980e+03 1.837308593749999928e-15
